                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.0825,                 2.2633,                 2.0983,                0.00233,                0.09859,                0.00144,                0.00014,                 2.8295,                    inf,                  285.1,              0.0015512,              0.0015512,              0.0015512
                     37,                 2.1646,                 2.2159,                 2.0818,                0.00233,                0.09859,                0.00144,                0.00014,                 2.8295,                    inf,                  285.1,               0.001538,               0.001538,               0.001538
                     38,                 2.0516,                 1.8928,                 1.8487,                0.00244,                0.05634,                0.00128,                0.00013,                    5.1,                    inf,                 494.18,              0.0015248,              0.0015248,              0.0015248
                     39,                 1.9429,                 1.7813,                 1.9493,                0.00244,                0.05634,                0.00128,                0.00013,                    5.1,                    inf,                 494.18,              0.0015116,              0.0015116,              0.0015116
                     40,                 1.9425,                 1.8355,                  1.855,                0.00244,                0.05634,                0.00128,                0.00013,                    nan,                    nan,                    nan,              0.0014984,              0.0014984,              0.0014984
                     41,                 1.9497,                 2.0081,                 1.8532,                0.00244,                0.05634,                0.00128,                0.00013,                    nan,                    nan,                    nan,              0.0014852,              0.0014852,              0.0014852
                     42,                 1.9885,                 1.9843,                 1.8667,                0.34183,                0.40845,                0.24491,                0.10856,                  2.154,                  2.851,                 2.3375,               0.001472,               0.001472,               0.001472
                     43,                 1.9658,                 1.9979,                 1.9554,                0.34183,                0.40845,                0.24491,                0.10856,                  2.154,                  2.851,                 2.3375,              0.0014588,              0.0014588,              0.0014588
                     44,                 2.0139,                 2.1692,                 1.9907,                0.34183,                0.40845,                0.24491,                0.10856,                  2.154,                  2.851,                 2.3375,              0.0014456,              0.0014456,              0.0014456
                     45,                 1.9101,                 1.9892,                 1.8332,                0.27225,                 0.4507,                 0.1934,                0.09167,                 1.8935,                 2.9313,                 2.0772,              0.0014324,              0.0014324,              0.0014324
                     46,                 1.8473,                 1.8639,                  1.765,                0.27225,                 0.4507,                 0.1934,                0.09167,                 1.8935,                 2.9313,                 2.0772,              0.0014192,              0.0014192,              0.0014192
                     47,                 1.8095,                 1.7832,                 1.7476,                0.55972,                0.19718,                0.20781,                0.10519,                 2.9114,                 4.7011,                 19.917,               0.001406,               0.001406,               0.001406
                     48,                 1.7751,                 1.5794,                 1.7331,                0.55972,                0.19718,                0.20781,                0.10519,                 2.9114,                 4.7011,                 19.917,              0.0013928,              0.0013928,              0.0013928
                     49,                 1.9138,                 1.7967,                 1.7847,                0.72953,                0.56338,                0.61605,                0.26649,                  1.928,                 2.5778,                 2.1681,              0.0013796,              0.0013796,              0.0013796
                     50,                 1.8424,                 1.6004,                 1.7384,                0.72953,                0.56338,                0.61605,                0.26649,                  1.928,                 2.5778,                 2.1681,              0.0013664,              0.0013664,              0.0013664
                     51,                 1.7717,                 1.6405,                 1.7887,                0.72953,                0.56338,                0.61605,                0.26649,                  1.928,                 2.5778,                 2.1681,              0.0013532,              0.0013532,              0.0013532
                     52,                 1.7858,                 1.6185,                 1.8557,                0.64226,                0.64789,                0.60459,                0.23525,                 2.0182,                  2.226,                 2.2071,                0.00134,                0.00134,                0.00134
                     53,                 1.7918,                 1.5722,                 1.7865,                0.64226,                0.64789,                0.60459,                0.23525,                 2.0182,                  2.226,                 2.2071,              0.0013268,              0.0013268,              0.0013268
                     54,                 1.7606,                 1.4763,                 1.6702,                0.66609,                 0.5493,                0.52244,                0.20723,                 2.2045,                 2.2483,                 2.4325,              0.0013136,              0.0013136,              0.0013136
                     55,                 1.7714,                 1.5268,                 1.7694,                0.66609,                 0.5493,                0.52244,                0.20723,                 2.2045,                 2.2483,                 2.4325,              0.0013004,              0.0013004,              0.0013004
                     56,                 1.8705,                 1.6603,                 1.8674,                0.54272,                0.39437,                0.42215,                0.21441,                 2.1536,                 2.9574,                 2.5754,              0.0012872,              0.0012872,              0.0012872
                     57,                 1.8226,                 1.5036,                 1.7212,                0.54272,                0.39437,                0.42215,                0.21441,                 2.1536,                 2.9574,                 2.5754,               0.001274,               0.001274,               0.001274
                     58,                 1.7863,                  1.522,                 1.7249,                0.01656,                0.49296,                0.01577,                0.00765,                 2.6348,                 47.395,                 9.8351,              0.0012608,              0.0012608,              0.0012608
                     59,                 1.6374,                 1.4103,                 1.7147,                0.01656,                0.49296,                0.01577,                0.00765,                 2.6348,                 47.395,                 9.8351,              0.0012476,              0.0012476,              0.0012476
