                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3784,                 3.4775,                 1.2742,                0.22505,                0.19412,                0.11975,                0.07381,                 1.2865,                 7.5319,                 1.3289,                0.00034,                0.00034,                0.00034
                      2,                 1.6907,                  3.457,                 1.4535,                0.08906,                0.87059,                0.10038,                0.04587,                  1.662,                    inf,                 1.5832,             0.00069538,             0.00069538,             0.00069538
                      3,                 1.6675,                 3.7577,                 1.5134,                0.60445,                0.70588,                0.67969,                0.29628,                 1.5777,                 4.5995,                 1.5034,               0.001046,               0.001046,               0.001046
                      4,                  1.777,                  3.773,                 1.5253,                0.60445,                0.70588,                0.67969,                0.29628,                 1.5777,                 4.5995,                 1.5034,              0.0013919,              0.0013919,              0.0013919
                      5,                 1.9232,                 3.7522,                 1.6873,                0.60445,                0.70588,                0.67969,                0.29628,                    nan,                    nan,                    nan,               0.001733,               0.001733,               0.001733
                      6,                 2.0836,                 3.6991,                 1.8238,                0.60445,                0.70588,                0.67969,                0.29628,                    nan,                    nan,                    nan,               0.001934,               0.001934,               0.001934
                      7,                 2.3947,                  7.284,                 2.0705,                0.60445,                0.70588,                0.67969,                0.29628,                    nan,                    nan,                    nan,               0.001934,               0.001934,               0.001934
                      8,                 2.4477,                 7.4363,                  2.081,                0.02124,                0.37059,                0.01558,                0.00485,                 2.9344,                 110.69,                 4.0055,              0.0019208,              0.0019208,              0.0019208
                      9,                 2.5416,                 8.0016,                 2.1774,                0.02124,                0.37059,                0.01558,                0.00485,                 2.9344,                 110.69,                 4.0055,              0.0019076,              0.0019076,              0.0019076
                     10,                  2.406,                 6.1797,                 2.0645,                0.01733,                0.30588,                0.01307,                0.00292,                    nan,                    nan,                    nan,              0.0018944,              0.0018944,              0.0018944
                     11,                 2.0692,                 3.5808,                 1.7889,                0.01733,                0.30588,                0.01307,                0.00292,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                     12,                 2.1021,                 3.0901,                 1.8286,                0.00133,                0.02353,                 0.0007,                0.00012,                    nan,                    nan,                    nan,               0.001868,               0.001868,               0.001868
                     13,                  2.351,                 2.6127,                 2.0061,                0.00133,                0.02353,                 0.0007,                0.00012,                    nan,                    nan,                    nan,              0.0018548,              0.0018548,              0.0018548
                     14,                  2.417,                 2.4071,                 2.4272,                0.01367,                0.24118,                 0.0091,                0.00252,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                     15,                 2.5246,                 2.3437,                 2.5577,                0.01367,                0.24118,                 0.0091,                0.00252,                    nan,                    nan,                    nan,              0.0018284,              0.0018284,              0.0018284
                     16,                 2.6028,                 2.5634,                 2.2263,                0.00733,                0.12941,                0.00454,                0.00124,                    nan,                    nan,                    nan,              0.0018152,              0.0018152,              0.0018152
                     17,                 2.7513,                 2.7257,                 2.4714,                  0.012,                0.21176,                0.00788,                0.00259,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                     18,                 2.3719,                 2.0869,                 2.0423,                  0.012,                0.21176,                0.00788,                0.00259,                    nan,                    nan,                    nan,              0.0017888,              0.0017888,              0.0017888
                     19,                 2.4097,                 2.1066,                 2.0782,                0.29611,                0.38235,                0.19977,                0.05624,                 2.5528,                 2.3004,                 3.2856,              0.0017756,              0.0017756,              0.0017756
                     20,                 2.3645,                 2.1022,                 2.1486,                0.29611,                0.38235,                0.19977,                0.05624,                 2.5528,                 2.3004,                 3.2856,              0.0017624,              0.0017624,              0.0017624
                     21,                 2.2194,                 1.9703,                 1.9841,                0.35654,                0.61176,                0.35624,                0.16128,                 1.8744,                 2.0719,                 2.1214,              0.0017492,              0.0017492,              0.0017492
                     22,                 2.1289,                 1.9793,                 1.9564,                0.35654,                0.61176,                0.35624,                0.16128,                 1.8744,                 2.0719,                 2.1214,               0.001736,               0.001736,               0.001736
                     23,                 2.0122,                 1.8937,                 1.9228,                0.41335,                0.65294,                0.43553,                0.18036,                 1.8908,                 3.4055,                 2.2253,              0.0017228,              0.0017228,              0.0017228
                     24,                  1.935,                 1.7795,                 1.7668,                0.02724,                0.44118,                0.02002,                0.01119,                 1.7208,                 14.039,                 1.9032,              0.0017096,              0.0017096,              0.0017096
                     25,                 1.8281,                 2.0412,                 1.7241,                0.02724,                0.44118,                0.02002,                0.01119,                 1.7208,                 14.039,                 1.9032,              0.0016964,              0.0016964,              0.0016964
                     26,                 1.8375,                 1.9331,                 1.7607,                0.49002,                0.59912,                0.48091,                0.23132,                 1.6321,                 1.6862,                 1.8394,              0.0016832,              0.0016832,              0.0016832
                     27,                 1.7705,                 1.6986,                  1.784,                0.49002,                0.59912,                0.48091,                0.23132,                 1.6321,                 1.6862,                 1.8394,                0.00167,                0.00167,                0.00167
                     28,                  1.754,                 1.8531,                 1.6482,                0.58479,                0.67647,                0.55601,                0.26645,                 1.6739,                 2.1823,                 1.8423,              0.0016568,              0.0016568,              0.0016568
                     29,                 1.7644,                 2.0152,                 1.7167,                0.58479,                0.67647,                0.55601,                0.26645,                 1.6739,                 2.1823,                 1.8423,              0.0016436,              0.0016436,              0.0016436
                     30,                 1.7281,                 1.6092,                 1.6432,                0.58975,                0.71176,                0.55282,                0.29036,                  1.562,                 2.3757,                 1.7483,              0.0016304,              0.0016304,              0.0016304
                     31,                  1.753,                 1.6278,                 1.7785,                0.58975,                0.71176,                0.55282,                0.29036,                  1.562,                 2.3757,                 1.7483,              0.0016172,              0.0016172,              0.0016172
                     32,                 1.7756,                 1.4245,                 1.6825,                0.70697,                0.70588,                0.76046,                0.42319,                 1.5051,                 1.5845,                 1.6479,               0.001604,               0.001604,               0.001604
                     33,                 1.7423,                 1.4483,                  1.683,                0.66319,                0.65882,                0.73945,                0.43146,                 1.4014,                 1.3812,                 1.6061,              0.0015908,              0.0015908,              0.0015908
                     34,                 1.5461,                 1.3718,                 1.6093,                0.66319,                0.65882,                0.73945,                0.43146,                 1.4014,                 1.3812,                 1.6061,              0.0015776,              0.0015776,              0.0015776
                     35,                 1.5035,                 1.2923,                 1.4815,                0.53948,                0.74118,                0.68721,                0.41228,                 1.3769,                 1.3167,                 1.5798,              0.0015644,              0.0015644,              0.0015644
                     36,                 1.4362,                  1.275,                 1.4866,                0.53948,                0.74118,                0.68721,                0.41228,                 1.3769,                 1.3167,                 1.5798,              0.0015512,              0.0015512,              0.0015512
                     37,                  1.398,                 1.2091,                 1.4751,                0.61786,                0.75294,                0.74785,                0.46213,                  1.347,                 1.2015,                 1.5678,               0.001538,               0.001538,               0.001538
                     38,                 1.4034,                 1.2031,                 1.4655,                0.61786,                0.75294,                0.74785,                0.46213,                  1.347,                 1.2015,                 1.5678,              0.0015248,              0.0015248,              0.0015248
                     39,                 1.4353,                 1.2141,                 1.5062,                 0.7848,                0.79412,                0.84867,                0.48185,                 1.4396,                  1.224,                 1.5691,              0.0015116,              0.0015116,              0.0015116
                     40,                 1.5009,                 1.2193,                 1.5537,                0.83264,                0.81765,                0.89406,                0.57441,                 1.2965,                  1.021,                 1.4903,              0.0014984,              0.0014984,              0.0014984
                     41,                 1.3796,                 1.1341,                 1.4127,                0.83264,                0.81765,                0.89406,                0.57441,                 1.2965,                  1.021,                 1.4903,              0.0014852,              0.0014852,              0.0014852
                     42,                  1.366,                 1.1539,                 1.4521,                0.75603,                0.85294,                0.86583,                0.57769,                 1.2481,                0.99312,                 1.4252,               0.001472,               0.001472,               0.001472
                     43,                 1.3118,                  1.137,                 1.3739,                0.75603,                0.85294,                0.86583,                0.57769,                 1.2481,                0.99312,                 1.4252,              0.0014588,              0.0014588,              0.0014588
                     44,                 1.3054,                 1.1168,                 1.4165,                0.80616,                 0.8073,                0.88171,                  0.577,                 1.2288,                0.98408,                  1.396,              0.0014456,              0.0014456,              0.0014456
                     45,                 1.2952,                 1.0572,                 1.3631,                0.80616,                 0.8073,                0.88171,                  0.577,                 1.2288,                0.98408,                  1.396,              0.0014324,              0.0014324,              0.0014324
                     46,                 1.2648,                 1.0656,                 1.3976,                0.86914,                0.90588,                0.93842,                0.60446,                  1.243,                 1.0284,                 1.4546,              0.0014192,              0.0014192,              0.0014192
                     47,                  1.266,                 1.0839,                 1.3903,                0.86914,                0.90588,                0.93842,                0.60446,                  1.243,                 1.0284,                 1.4546,               0.001406,               0.001406,               0.001406
                     48,                 1.4454,                 1.1708,                 1.5677,                0.88104,                0.87647,                0.94011,                0.57489,                 1.3303,                 1.0254,                 1.5182,              0.0013928,              0.0013928,              0.0013928
                     49,                 1.4688,                 1.1686,                   1.54,                 0.9119,                0.87059,                0.95217,                0.62032,                 1.2415,                0.96881,                 1.4399,              0.0013796,              0.0013796,              0.0013796
                     50,                 1.2677,                 1.0545,                 1.3362,                 0.9119,                0.87059,                0.95217,                0.62032,                 1.2415,                0.96881,                 1.4399,              0.0013664,              0.0013664,              0.0013664
                     51,                 1.3627,                 1.0864,                  1.448,                0.90932,                0.82584,                 0.9347,                0.58061,                 1.3018,                0.94721,                 1.4275,              0.0013532,              0.0013532,              0.0013532
                     52,                  1.431,                 1.0351,                 1.4054,                0.90932,                0.82584,                 0.9347,                0.58061,                 1.3018,                0.94721,                 1.4275,                0.00134,                0.00134,                0.00134
                     53,                 1.3251,                 1.0751,                 1.4307,                0.91638,                0.83805,                0.93507,                0.59098,                 1.2516,                 0.9173,                 1.4043,              0.0013268,              0.0013268,              0.0013268
                     54,                  1.284,                 1.0952,                 1.4081,                0.91638,                0.83805,                0.93507,                0.59098,                 1.2516,                 0.9173,                 1.4043,              0.0013136,              0.0013136,              0.0013136
                     55,                 1.2414,                 1.0572,                 1.3853,                0.86672,                0.84158,                0.92944,                0.59041,                 1.2529,                0.93286,                 1.4079,              0.0013004,              0.0013004,              0.0013004
                     56,                 1.2561,                 1.0294,                 1.4164,                0.86683,                0.84237,                0.93444,                0.61303,                 1.1916,                0.90564,                 1.3716,              0.0012872,              0.0012872,              0.0012872
                     57,                 1.2498,                 1.0506,                 1.4607,                0.86683,                0.84237,                0.93444,                0.61303,                 1.1916,                0.90564,                 1.3716,               0.001274,               0.001274,               0.001274
                     58,                  1.209,                0.97394,                  1.367,                0.88188,                0.89412,                0.95339,                 0.6383,                 1.1624,                0.89474,                 1.3871,              0.0012608,              0.0012608,              0.0012608
                     59,                 1.1825,                0.95883,                 1.3582,                0.88188,                0.89412,                0.95339,                 0.6383,                 1.1624,                0.89474,                 1.3871,              0.0012476,              0.0012476,              0.0012476
                     60,                 1.1859,                0.95116,                 1.3501,                0.89424,                0.89532,                0.94963,                0.65625,                  1.137,                0.87921,                 1.3589,              0.0012344,              0.0012344,              0.0012344
                     61,                 1.0686,                0.91406,                 1.2656,                0.89424,                0.89532,                0.94963,                0.65625,                  1.137,                0.87921,                 1.3589,              0.0012212,              0.0012212,              0.0012212
                     62,                 1.1678,                0.88155,                 1.2643,                0.87089,                0.87297,                0.92675,                0.62429,                 1.1913,                0.87099,                 1.3764,               0.001208,               0.001208,               0.001208
                     63,                   1.23,                0.95896,                 1.3546,                0.87089,                0.87297,                0.92675,                0.62429,                 1.1913,                0.87099,                 1.3764,              0.0011948,              0.0011948,              0.0011948
                     64,                 1.3392,                 1.0213,                 1.4075,                0.88777,                0.87059,                0.93624,                0.60934,                 1.2535,                 0.8776,                 1.3884,              0.0011816,              0.0011816,              0.0011816
                     65,                 1.3293,                0.94054,                 1.3307,                 0.8547,                0.88824,                0.95385,                0.64962,                 1.1786,                0.85584,                 1.3386,              0.0011684,              0.0011684,              0.0011684
                     66,                  1.182,                0.92726,                 1.3285,                 0.8547,                0.88824,                0.95385,                0.64962,                 1.1786,                0.85584,                 1.3386,              0.0011552,              0.0011552,              0.0011552
                     67,                 1.2121,                 0.9191,                  1.343,                0.91077,                0.90057,                0.96352,                0.66985,                 1.1079,                0.83452,                  1.322,               0.001142,               0.001142,               0.001142
                     68,                 1.1534,                0.90522,                 1.2938,                0.91077,                0.90057,                0.96352,                0.66985,                 1.1079,                0.83452,                  1.322,              0.0011288,              0.0011288,              0.0011288
                     69,                 1.1399,                0.87894,                 1.2826,                0.88952,                0.91765,                0.95978,                0.64966,                 1.1744,                0.84702,                 1.3944,              0.0011156,              0.0011156,              0.0011156
                     70,                 1.2089,                0.91817,                 1.3484,                0.88952,                0.91765,                0.95978,                0.64966,                 1.1744,                0.84702,                 1.3944,              0.0011024,              0.0011024,              0.0011024
                     71,                 1.2013,                0.91349,                 1.3362,                0.88795,                0.83909,                0.94116,                0.63419,                 1.1816,                0.83446,                  1.385,              0.0010892,              0.0010892,              0.0010892
